epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,583.624,0.5827,0.52415,1.03951,0.89629,0.77758,0.85735,0.64764,0.89369,0.73882,1.2676,0.000495266,0.000495266,0.000495266
73,591.806,0.5901,0.50949,1.0585,0.86524,0.79273,0.85348,0.64329,0.90196,0.75252,1.26155,0.000478762,0.000478762,0.000478762
74,599.242,0.57799,0.49155,1.02367,0.85753,0.79797,0.84559,0.6341,0.92138,0.76535,1.24941,0.000462259,0.000462259,0.000462259
75,607.459,0.5944,0.49945,1.03047,0.86707,0.79051,0.85489,0.63809,0.87744,0.76279,1.22855,0.000445756,0.000445756,0.000445756
76,615.141,0.57757,0.48807,1.0178,0.85632,0.80322,0.8503,0.63793,0.90694,0.75534,1.25769,0.000429253,0.000429253,0.000429253
77,623.128,0.55897,0.48629,1.02423,0.85479,0.80407,0.85567,0.64636,0.88697,0.70448,1.23861,0.000412749,0.000412749,0.000412749
78,631.405,0.55659,0.47942,1.01635,0.86502,0.82036,0.87882,0.66827,0.83044,0.65035,1.19679,0.000396246,0.000396246,0.000396246
79,638.912,0.56887,0.50418,1.0296,0.89146,0.79676,0.87301,0.66766,0.82357,0.68032,1.20674,0.000379743,0.000379743,0.000379743
80,647.352,0.58145,0.51003,1.03689,0.89767,0.77826,0.86613,0.65292,0.84582,0.69445,1.21854,0.000363239,0.000363239,0.000363239
81,654.998,0.56389,0.49394,1.02031,0.90655,0.77572,0.86079,0.63777,0.91743,0.70861,1.26416,0.000346736,0.000346736,0.000346736
82,662.953,0.55131,0.48656,1.02281,0.90769,0.77196,0.84725,0.63515,0.9091,0.73246,1.24847,0.000330233,0.000330233,0.000330233
83,671.086,0.55687,0.47448,1.01383,0.93066,0.76146,0.83362,0.6308,0.91973,0.77816,1.26805,0.000313729,0.000313729,0.000313729
84,678.603,0.55656,0.47376,1.02618,0.90958,0.75461,0.82723,0.63447,0.88071,0.75612,1.26404,0.000297226,0.000297226,0.000297226
85,686.884,0.53962,0.45872,1.0167,0.9131,0.74873,0.82788,0.62971,0.89295,0.77579,1.24641,0.000280723,0.000280723,0.000280723
86,694.774,0.54323,0.45533,1.01039,0.90618,0.76741,0.84373,0.6375,0.87814,0.74406,1.2541,0.00026422,0.00026422,0.00026422
87,702.57,0.53929,0.45904,1.011,0.86601,0.801,0.85181,0.63652,0.88168,0.72815,1.26355,0.000247716,0.000247716,0.000247716
88,710.825,0.52033,0.43771,1.01797,0.86662,0.79821,0.86287,0.64639,0.90478,0.72262,1.27437,0.000231213,0.000231213,0.000231213
89,718.264,0.51873,0.42849,0.99774,0.88898,0.78066,0.87364,0.65636,0.90181,0.70818,1.2669,0.00021471,0.00021471,0.00021471
90,726.439,0.5132,0.45722,1.00219,0.88981,0.79084,0.87647,0.6571,0.86025,0.69249,1.22745,0.000198206,0.000198206,0.000198206
91,736.219,0.50232,0.49047,0.97183,0.87871,0.79575,0.87403,0.66664,0.83975,0.67024,1.22459,0.000181703,0.000181703,0.000181703
92,743.826,0.50281,0.45492,0.95794,0.89699,0.77986,0.86932,0.66129,0.8324,0.67095,1.20827,0.0001652,0.0001652,0.0001652
93,752.015,0.49774,0.41314,0.93718,0.88173,0.78305,0.85721,0.6602,0.83074,0.69941,1.19768,0.000148696,0.000148696,0.000148696
94,759.835,0.50727,0.43162,0.94786,0.8626,0.81311,0.86747,0.6592,0.81721,0.66663,1.17065,0.000132193,0.000132193,0.000132193
95,767.579,0.48641,0.40177,0.94097,0.85849,0.84992,0.87252,0.66598,0.80513,0.62338,1.16914,0.00011569,0.00011569,0.00011569
96,775.636,0.4669,0.39295,0.93365,0.85305,0.84067,0.86968,0.66289,0.80887,0.6117,1.17793,9.91865e-05,9.91865e-05,9.91865e-05
97,783.069,0.47042,0.38481,0.92709,0.85209,0.84275,0.87716,0.669,0.80192,0.60096,1.18704,8.26832e-05,8.26832e-05,8.26832e-05
98,791.217,0.46628,0.40259,0.95129,0.86474,0.82409,0.8712,0.66932,0.79961,0.60738,1.1918,6.61799e-05,6.61799e-05,6.61799e-05
99,799.381,0.46642,0.3893,0.92968,0.86111,0.82036,0.86945,0.66579,0.79906,0.616,1.19367,4.96766e-05,4.96766e-05,4.96766e-05
100,806.773,0.46288,0.38105,0.92617,0.85551,0.82068,0.86114,0.66363,0.79787,0.62131,1.18843,3.31733e-05,3.31733e-05,3.31733e-05
